,date,home_team,score,away_team
394,02-11-2024,Fluminense FC,2 - 2,Grêmio
395,08-11-2024,Internacional RS,2 - 0,Fluminense FC
396,14-04-2024,São Paulo,1 - 2,Fortaleza
397,17-04-2024,Fortaleza,1 - 1,Cruzeiro
398,28-04-2024,Fortaleza,1 - 1,Bragantino
399,05-05-2024,Corinthians,0 - 0,Fortaleza
400,12-05-2024,Fortaleza,1 - 1,Botafogo FR
401,02-06-2024,Fortaleza,1 - 0,Athletico PR
402,14-06-2024,EC Bahia,1 - 0,Fortaleza
403,16-06-2024,Cuiabá,5 - 0,Fortaleza
404,19-06-2024,Fortaleza,1 - 0,Grêmio
405,23-06-2024,Atlético Mineiro,1 - 1,Fortaleza
406,27-06-2024,Fortaleza,3 - 0,SE Palmeiras
407,30-06-2024,Fortaleza,2 - 1,Juventude
408,03-07-2024,Vasco da Gama,2 - 0,Fortaleza
409,07-07-2024,Fortaleza,1 - 0,Fluminense FC
410,11-07-2024,Flamengo RJ,1 - 2,Fortaleza
411,18-07-2024,Fortaleza,3 - 1,Vitória
412,21-07-2024,Fortaleza,3 - 1,Atlético GO
413,24-07-2024,Criciúma,1 - 1,Fortaleza
414,28-07-2024,Fortaleza,1 - 0,São Paulo
415,06-08-2024,Cruzeiro,1 - 2,Fortaleza
416,10-08-2024,Fortaleza,1 - 0,Criciúma
417,17-08-2024,Bragantino,1 - 2,Fortaleza
418,25-08-2024,Fortaleza,1 - 0,Corinthians
419,01-09-2024,Botafogo FR,2 - 0,Fortaleza
420,11-09-2024,Internacional RS,2 - 1,Fortaleza
421,14-09-2024,Athletico PR,1 - 1,Fortaleza
422,22-09-2024,Fortaleza,4 - 1,EC Bahia
423,29-09-2024,Fortaleza,1 - 0,Cuiabá
424,05-10-2024,Grêmio,3 - 1,Fortaleza
425,17-10-2024,Fortaleza,1 - 1,Atlético Mineiro
426,26-10-2024,SE Palmeiras,2 - 2,Fortaleza
427,02-11-2024,Juventude,0 - 3,Fortaleza
428,09-11-2024,Fortaleza,3 - 0,Vasco da Gama
429,14-04-2024,Vasco da Gama,2 - 1,Grêmio
430,17-04-2024,Grêmio,2 - 0,Athletico PR
431,20-04-2024,Grêmio,1 - 0,Cuiabá
432,28-04-2024,EC Bahia,1 - 0,Grêmio
433,01-06-2024,Grêmio,0 - 2,Bragantino
434,13-06-2024,Flamengo RJ,2 - 1,Grêmio
435,16-06-2024,Grêmio,1 - 2,Botafogo FR
436,19-06-2024,Fortaleza,1 - 0,Grêmio
437,22-06-2024,Grêmio,0 - 1,Internacional RS
438,26-06-2024,Atlético GO,1 - 1,Grêmio
439,30-06-2024,Grêmio,1 - 0,Fluminense FC
440,04-07-2024,Grêmio,2 - 2,SE Palmeiras
441,07-07-2024,Juventude,3 - 0,Grêmio
442,10-07-2024,Grêmio,0 - 2,Cruzeiro
443,17-07-2024,São Paulo,1 - 0,Grêmio
444,21-07-2024,Grêmio,2 - 0,Vitória
445,25-07-2024,Corinthians,2 - 2,Grêmio
446,28-07-2024,Grêmio,1 - 0,Vasco da Gama
447,04-08-2024,Athletico PR,0 - 2,Grêmio
448,10-08-2024,Cuiabá,1 - 3,Grêmio
449,17-08-2024,Grêmio,0 - 2,EC Bahia
450,25-08-2024,Criciúma,0 - 1,Grêmio
451,01-09-2024,Grêmio,2 - 3,Atlético Mineiro
452,15-09-2024,Bragantino,2 - 2,Grêmio
453,22-09-2024,Grêmio,3 - 2,Flamengo RJ
454,25-09-2024,Grêmio,1 - 2,Criciúma
455,29-09-2024,Botafogo FR,0 - 0,Grêmio
456,05-10-2024,Grêmio,3 - 1,Fortaleza
457,09-10-2024,Atlético Mineiro,2 - 1,Grêmio
458,19-10-2024,Internacional RS,1 - 0,Grêmio
459,26-10-2024,Grêmio,3 - 1,Atlético GO
460,02-11-2024,Fluminense FC,2 - 2,Grêmio
461,09-11-2024,SE Palmeiras,1 - 0,Grêmio
462,13-04-2024,Internacional RS,2 - 1,EC Bahia
463,17-04-2024,SE Palmeiras,0 - 1,Internacional RS
464,21-04-2024,Athletico PR,1 - 0,Internacional RS
465,28-04-2024,Internacional RS,1 - 1,Atlético GO
466,01-06-2024,Cuiabá,0 - 1,Internacional RS
467,13-06-2024,Internacional RS,0 - 0,São Paulo
468,16-06-2024,Vitória,2 - 1,Internacional RS
469,20-06-2024,Internacional RS,1 - 0,Corinthians
470,22-06-2024,Grêmio,0 - 1,Internacional RS
471,27-06-2024,Internacional RS,1 - 2,Atlético Mineiro
472,30-06-2024,Criciúma,1 - 1,Internacional RS
